size of company ,work type 
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
50-99,non-simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
100-499,non-simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
500-999,non-simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
1000-5000,non-simultaneous
